1161,117,Health,Dengue fever caused by which virus?,Human papillomavirus,Flavivirus,Influenza,Herpes,2,Dengue fever virus (DENV) is an RNA virus of the family Flaviviridae, genus Flavivirus.
1162,117,Health,The red color of blood is due to the pigment called,Bilirubin,Zeaxanthin,Haemoglobin,Melanin,3,Haemoglobin is the iron-containing oxygen-transport metalloprotein in the red blood cells of all vertebrates (with the exception of the fish family Channichthyidae) as well as the tissues of some invertebrates.,
1163,117,Health,Which of the following vitamins are fat soluble?,"Vitamin A, D, E and K",Vitamin B and C,"Vitamin A, D and E",Vitamin A and B,1,"Vitamins are classified as either fat soluble (vitamins A, D, E and K) or water soluble (vitamins B and C).",
1164,117,Health,Avitaminosis is caused by what kind of vitamin deficiency?,Vitamin K,Vitamin D,Vitamin C,Vitamin B,1,Vitamin K deficiency is a form of avitaminosis resulting from insufficient Vitamin K1 or Vitamin K2 or both.,
1165,117,Health,White blood cells are also called ,Erythrocytes,Leukocytes,Platelets,,2,"White blood cells (WBCs), also called leukocytes or leucocytes, are the cells of the immune system that are involved in protecting the body against both infectious disease and foreign invaders. All leukocytes are produced and derived from a multipotent cell in the bone marrow known as a hematopoietic stem cell.",
1166,117,Health,What is the normal haemoglobin content in women?,11.2 to 14.5 grams per deciliter,13.5 to 17.5 grams per deciliter,12.5 to 14.5 grams per deciliter,12-15.5 grams per deciliter,4,"The normal range for hemoglobin is: For men, 13.5 to 17.5 grams per deciliter. For women, 12.0 to 15.5 grams per deciliter.",
1167,117,Health,Leprosy is caused by which kind of bacteria?,Mycobacterium leprae,Bacillus thuringiensis,Mycobacterium tuberculosis,Bacillus anthracis,1,"Leprosy is caused by a slow-growing type of bacteria called Mycobacterium leprae (M. leprae). Leprosy is also known as Hansen's disease, after the scientist who discovered M. leprae in 1873.",
1168,117,Health,What is the another name of vitamin B2,Pyridoxine,Thiamine,Riboflavin,Cyanocobalamin,3,"Vitamin B complexes generally include vitamin B1 (thiamine), vitamin B2 (riboflavin), vitamin B3 (niacin/niacinamide), vitamin B5 (pantothenic acid), vitamin B6 (pyridoxine), vitamin B12 (cyanocobalamin), and folic acid.",
1169,117,Health,What kind of mosquitoes that causes malaria?,Klebsiella ,Plasmodium,Mycobacterium,Azospirillum ,2,A: Only certain species of mosquitoes of the Anopheles genus-and only females of those species-can transmit malaria. Malaria is caused by a one-celled parasite called a Plasmodium. Female Anopheles mosquitoes pick up the parasite from infected people when they bite to obtain blood needed to nurture their eggs.,
1170,117,Health,Which gland is called as master gland?,Pineal gland,Exocrine gland,Thyroid gland,Pituitary gland,4,"The pituitary gland is often dubbed the “master gland” because its hormones control other parts of the endocrine system, namely the thyroid gland, adrenal glands, ovaries, and testes. However, the pituitary doesn't entirely run the show.",
