1231,124,Birds,'Sisserou parrot' is the National bird of which Country?,Denmark,Dominica,Australia,Argentina,2,"“The Pride of Dominica”, the Sisserou parrot (Amazona imperalis) is generally recognized as the National Bird of Dominica. The green and purple plumaged parrot figures prominently on the Coat of Arms, the National Flag, and other honourable Government symbols",
1232,124,Birds,Which is the national bird of Australia?,Owl,Kiwi,Hummingbird,Woodpecker,1,"Owl is the national bird of Canada. Owls are birds from the order Strigiformes, which includes about 200 species of mostly solitary and nocturnal birds of prey typified by an upright stance, a large, broad head, binocular vision, binaural hearing, sharp talons and feathers adapted for silent flight. Exceptions include the diurnal northern hawk-owl and the gregarious burrowing owl.",
1233,124,Birds,Emu is the national bird of which country?,Argentina,Australia,China,United States,2,"The emu is the second-largest living bird in the world by height, after its ratite relative, the ostrich. It is endemic to Australia where it is the largest native bird and the only extant member of the genus Dromaius.",
1234,124,Birds,Which country is the native of myna?,Algeria,Belgium,India,Denmark,3,"The myna is a bird of the starling family. This is a group of passerine birds which are native to southern Asia, especially India.",
1235,124,Birds,Robin bird lays which color eggs ,Blue,White,Black  ,Green,2,"Starlings also lay blue eggs, but they are bigger than bluebird eggs. About 4-5% of bluebirds actually lay white eggs. Robin hatchlings are much larger than bluebird hatchlings, and have longer tufts of white fuzz along their spines and forehead. They are incubated for about 12-14 days, and fledge in 14-16 days.",
1236,124,Birds,Which country is the native of kiwi bird?,New zealand,Australia,China,India ,1,"Kiwi or kiwis are flightless birds native to New Zealand, in the genus Apteryx and family Apterygidae.",
1237,124,Birds,How many stomachs does a bird have,2,1,3,4,1,"Birds have a glandular stomach, or proventriculus, and muscular stomach or gizzard.",
1238,124,Birds,What is the name of female swan?,Cygnet,Pen,Cob,Bull,2,Swans are birds of the family Anatidae within the genus Cygnus. The swans' close relatives include the geese and ducks. ,
1239,124,Birds,How many wings does a chicken have,4,1,2,3,3,The chickens have 2 wings per bird.,
1240,124,Birds,What is the colour of female blackbird?,Yellow,Brown,Black  ,Orange,2,It is easy to distinguish a blackbird from any other bird. He is set apart by his bright yellow/orange beak and jet black feathers. The female has brown plumage with darker feathers on the breast. The female also has a darker coloured beak.,
